class_label,file_name,file_ext,width,height,aspect_ratio,pixels,file_size_kb,color_mode,blur_score,is_blur,is_low_res,is_selected
Kaca,R_3850.jpg,.jpg,225,225,1.0,50625,2.6,RGB,358.89644143514704,False,False,True
Kaca,R_3851.jpg,.jpg,225,225,1.0,50625,4.86,RGB,1716.3835259259258,False,False,True
Kaca,R_3852.jpg,.jpg,225,225,1.0,50625,2.65,RGB,563.6084495997561,False,False,True
Kaca,R_3853.jpg,.jpg,183,275,0.6655,50325,3.83,RGB,855.3610057839147,False,False,True
Kaca,R_3854.jpg,.jpg,194,259,0.749,50246,3.16,RGB,1331.375910505981,False,False,True
Kaca,R_3855.jpg,.jpg,225,225,1.0,50625,3.42,RGB,161.7765324199116,False,False,True
Kaca,R_3856.jpg,.jpg,259,194,1.3351,50246,2.07,RGB,209.1319508020539,False,False,True
Kaca,R_3857.jpg,.jpg,225,225,1.0,50625,2.66,RGB,384.96629659878676,False,False,True
Kaca,R_3858.jpg,.jpg,225,225,1.0,50625,2.5,RGB,397.9605511195001,False,False,True
Kaca,R_3859.jpg,.jpg,225,225,1.0,50625,3.65,RGB,680.2263948872184,False,False,True
Kaca,R_3860.jpg,.jpg,88,222,0.3964,19536,2.89,RGB,1933.2033652875082,False,True,False
Kaca,R_3861.jpg,.jpg,225,225,1.0,50625,4.65,RGB,1452.6579759344977,False,False,True
Kaca,R_3862.jpg,.jpg,293,172,1.7035,50396,3.88,RGB,854.0765140090483,False,False,True
Kaca,R_3863.jpg,.jpg,225,225,1.0,50625,3.95,RGB,1888.141353072373,False,False,True
Kaca,R_3864.jpg,.jpg,182,277,0.657,50414,4.53,RGB,2042.5814937665439,False,False,True
Kaca,R_3865.jpg,.jpg,183,275,0.6655,50325,5.1,RGB,1801.6540089418777,False,False,True
Kaca,R_3866.jpg,.jpg,217,232,0.9353,50344,3.38,RGB,196.17821110448656,False,False,True
Kaca,R_3867.jpg,.jpg,225,225,1.0,50625,5.6,RGB,2163.6757511195005,False,False,True
Kaca,R_3868.jpg,.jpg,225,225,1.0,50625,2.95,RGB,497.89590115809176,False,False,True
Kaca,R_3869.jpg,.jpg,196,256,0.7656,50176,4.95,RGB,1536.587070764973,False,False,True
Kaca,R_3870.jpg,.jpg,269,187,1.4385,50303,10.5,RGB,1765.243125921769,False,False,True
Kaca,R_3871.jpg,.jpg,96,203,0.4729,19488,2.17,RGB,2354.2820197044334,False,True,False
Kaca,R_3872.jpg,.jpg,183,275,0.6655,50325,4.25,RGB,955.7641717249205,False,False,True
Kaca,R_3873.jpg,.jpg,284,177,1.6045,50268,4.01,RGB,1552.2300758869046,False,False,True
Kaca,R_3874.jpg,.jpg,225,225,1.0,50625,4.31,RGB,1040.8937481481482,False,False,True
Kaca,R_3875.jpg,.jpg,98,199,0.4925,19502,2.4,RGB,1170.368423748781,False,True,False
Kaca,R_3876.jpg,.jpg,244,207,1.1787,50508,7.6,RGB,864.4306642923985,False,False,True
